Particle  Iter             zp[i]          uzp[i]         xp[i]          uxp[i]         
19            2          0.0095        47388.2517        -0.0040        -0.0000
20            2          0.0095        47388.2517        -0.0040        -0.0000
21            2          0.0095        47388.2517        -0.0040        -0.0000
22            2          0.0095        47388.2517        -0.0040        -0.0000
23            2          0.0095        47388.2517        -0.0040        -0.0000
24            2          0.0095        47388.2517        -0.0040        -0.0000
25            2          0.0095        47388.2517        -0.0040        -0.0000
26            2          0.0095        47388.2517        -0.0040        -0.0000
27            2          0.0095        47388.2517        -0.0040        -0.0000
28            2          0.0095        47388.2517        -0.0040        -0.0000
29            2          0.0095        47388.2517        -0.0040        -0.0000
30            2          0.0095        47388.2517        -0.0040        -0.0000
31            2          0.0095        47388.2517        -0.0040        -0.0000
32            2          0.0095        47388.2517        -0.0040        -0.0000
33            2          0.0095        47388.2517        -0.0040        -0.0000
34            2          0.0095        47388.2517        -0.0040        -0.0000
35            2          0.0095        47388.2517        -0.0040        -0.0000
36            2          0.0095        47388.2517        -0.0040        -0.0000
37            2          0.0095        47388.2517        -0.0040        -0.0000
38            2          0.0095        47388.2517        -0.0040        -0.0000
39            2          0.0095        47388.2517        -0.0040        -0.0000
40            2          0.0095        47388.2517        -0.0040        -0.0000
41            2          0.0095        47388.2517        -0.0040        -0.0000
42            2          0.0095        47388.2517        -0.0040        -0.0000
43            2          0.0095        47388.2517        -0.0040        -0.0000
44            2          0.0095        47388.2517        -0.0040        -0.0000
45            2          0.0095        47388.2517        -0.0040        -0.0000
46            2          0.0095        47388.2517        -0.0040        -0.0000
47            2          0.0095        47388.2517        -0.0040        -0.0000
48            2          0.0095        47388.2517        -0.0040        -0.0000
49            2          0.0095        47388.2517        -0.0040        -0.0000
0             3          0.0142        47388.2517        -0.0040        -0.0000
1             3          0.0142        47388.2517        -0.0040        -0.0000
2             3          0.0142        47388.2517        -0.0040        -0.0000
3             3          0.0142        47388.2517        -0.0040        -0.0000
4             3          0.0142        47388.2517        -0.0040        -0.0000
5             3          0.0142        47388.2517        -0.0040        -0.0000
6             3          0.0142        47388.2517        -0.0040        -0.0000
7             3          0.0142        47388.2517        -0.0040        -0.0000
8             3          0.0142        47388.2517        -0.0040        -0.0000
9             3          0.0142        47388.2517        -0.0040        -0.0000
10            3          0.0142        47388.2517        -0.0040        -0.0000
11            3          0.0142        47388.2517        -0.0040        -0.0000
12            3          0.0142        47388.2517        -0.0040        -0.0000
13            3          0.0142        47388.2517        -0.0040        -0.0000
14            3          0.0142        47388.2517        -0.0040        -0.0000
15            3          0.0142        47388.2517        -0.0040        -0.0000
16            3          0.0142        47388.2517        -0.0040        -0.0000
17            3          0.0142        47388.2517        -0.0040        -0.0000
18            3          0.0142        47388.2517        -0.0040        -0.0000
19            3          0.0142        47388.2517        -0.0040        -0.0000
20            3          0.0142        47388.2517        -0.0040        -0.0000
21            3          0.0142        47388.2517        -0.0040        -0.0000
22            3          0.0142        47388.2517        -0.0040        -0.0000
23            3          0.0142        47388.2517        -0.0040        -0.0000
24            3          0.0142        47388.2517        -0.0040        -0.0000
25            3          0.0142        47388.2517        -0.0040        -0.0000
26            3          0.0142        47388.2517        -0.0040        -0.0000
27            3          0.0142        47388.2517        -0.0040        -0.0000
28            3          0.0142        47388.2517        -0.0040        -0.0000
29            3          0.0142        47388.2517        -0.0040        -0.0000
30            3          0.0142        47388.2517        -0.0040        -0.0000
31            3          0.0142        47388.2517        -0.0040        -0.0000
32            3          0.0142        47388.2517        -0.0040        -0.0000
33            3          0.0142        47388.2517        -0.0040        -0.0000
34            3          0.0142        47388.2517        -0.0040        -0.0000
35            3          0.0142        47388.2517        -0.0040        -0.0000
36            3          0.0142        47388.2517        -0.0040        -0.0000
37            3          0.0142        47388.2517        -0.0040        -0.0000
38            3          0.0142        47388.2517        -0.0040        -0.0000
39            3          0.0142        47388.2517        -0.0040        -0.0000
40            3          0.0142        47388.2517        -0.0040        -0.0000
41            3          0.0142        47388.2517        -0.0040        -0.0000
42            3          0.0142        47388.2517        -0.0040        -0.0000
43            3          0.0142        47388.2517        -0.0040        -0.0000
44            3          0.0142        47388.2517        -0.0040        -0.0000
45            3          0.0142        47388.2517        -0.0040        -0.0000
46            3          0.0142        47388.2517        -0.0040        -0.0000
47            3          0.0142        47388.2517        -0.0040        -0.0000
48            3          0.0142        47388.2517        -0.0040        -0.0000
49            3          0.0142        47388.2517        -0.0040        -0.0000
0             4          0.0190        47388.2517        -0.0040        -0.0000
1             4          0.0190        47388.2517        -0.0040        -0.0000
2             4          0.0190        47388.2517        -0.0040        -0.0000
3             4          0.0190        47388.2517        -0.0040        -0.0000
4             4          0.0190        47388.2517        -0.0040        -0.0000
5             4          0.0190        47388.2517        -0.0040        -0.0000
6             4          0.0190        47388.2517        -0.0040        -0.0000
7             4          0.0190        47388.2517        -0.0040        -0.0000
8             4          0.0190        47388.2517        -0.0040        -0.0000
9             4          0.0190        47388.2517        -0.0040        -0.0000
10            4          0.0190        47388.2517        -0.0040        -0.0000
11            4          0.0190        47388.2517        -0.0040        -0.0000
12            4          0.0190        47388.2517        -0.0040        -0.0000
13            4          0.0190        47388.2517        -0.0040        -0.0000
14            4          0.0190        47388.2517        -0.0040        -0.0000
15            4          0.0190        47388.2517        -0.0040        -0.0000
16            4          0.0190        47388.2517        -0.0040        -0.0000
17            4          0.0190        47388.2517        -0.0040        -0.0000
18            4          0.0190        47388.2517        -0.0040        -0.0000
19            4          0.0190        47388.2517        -0.0040        -0.0000
20            4          0.0190        47388.2517        -0.0040        -0.0000
21            4          0.0190        47388.2517        -0.0040        -0.0000
22            4          0.0190        47388.2517        -0.0040        -0.0000
23            4          0.0190        47388.2517        -0.0040        -0.0000
24            4          0.0190        47388.2517        -0.0040        -0.0000
25            4          0.0190        47388.2517        -0.0040        -0.0000
26            4          0.0190        47388.2517        -0.0040        -0.0000
27            4          0.0190        47388.2517        -0.0040        -0.0000
28            4          0.0190        47388.2517        -0.0040        -0.0000
29            4          0.0190        47388.2517        -0.0040        -0.0000
30            4          0.0190        47388.2517        -0.0040        -0.0000
31            4          0.0190        47388.2517        -0.0040        -0.0000
32            4          0.0190        47388.2517        -0.0040        -0.0000
33            4          0.0190        47388.2517        -0.0040        -0.0000
34            4          0.0190        47388.2517        -0.0040        -0.0000
35            4          0.0190        47388.2517        -0.0040        -0.0000
36            4          0.0190        47388.2517        -0.0040        -0.0000
37            4          0.0190        47388.2517        -0.0040        -0.0000
38            4          0.0190        47388.2517        -0.0040        -0.0000
39            4          0.0190        47388.2517        -0.0040        -0.0000
40            4          0.0190        47388.2517        -0.0040        -0.0000
41            4          0.0190        47388.2517        -0.0040        -0.0000
42            4          0.0190        47388.2517        -0.0040        -0.0000
43            4          0.0190        47388.2517        -0.0040        -0.0000
44            4          0.0190        47388.2517        -0.0040        -0.0000
45            4          0.0190        47388.2517        -0.0040        -0.0000
46            4          0.0190        47388.2517        -0.0040        -0.0000
47            4          0.0190        47388.2517        -0.0040        -0.0000
48            4          0.0190        47388.2517        -0.0040        -0.0000
49            4          0.0190        47388.2517        -0.0040        -0.0000
0             5          0.0237        47388.2516        -0.0040        -0.0000
1             5          0.0237        47388.2516        -0.0040        -0.0000
2             5          0.0237        47388.2516        -0.0040        -0.0000
3             5          0.0237        47388.2516        -0.0040        -0.0000
4             5          0.0237        47388.2516        -0.0040        -0.0000
5             5          0.0237        47388.2516        -0.0040        -0.0000
6             5          0.0237        47388.2516        -0.0040        -0.0000
7             5          0.0237        47388.2516        -0.0040        -0.0000
8             5          0.0237        47388.2516        -0.0040        -0.0000
9             5          0.0237        47388.2516        -0.0040        -0.0000
10            5          0.0237        47388.2516        -0.0040        -0.0000
11            5          0.0237        47388.2516        -0.0040        -0.0000
12            5          0.0237        47388.2516        -0.0040        -0.0000
13            5          0.0237        47388.2516        -0.0040        -0.0000
14            5          0.0237        47388.2516        -0.0040        -0.0000
15            5          0.0237        47388.2516        -0.0040        -0.0000
16            5          0.0237        47388.2516        -0.0040        -0.0000
17            5          0.0237        47388.2516        -0.0040        -0.0000
18            5          0.0237        47388.2516        -0.0040        -0.0000
19            5          0.0237        47388.2516        -0.0040        -0.0000
20            5          0.0237        47388.2516        -0.0040        -0.0000
21            5          0.0237        47388.2516        -0.0040        -0.0000
22            5          0.0237        47388.2516        -0.0040        -0.0000
23            5          0.0237        47388.2516        -0.0040        -0.0000
24            5          0.0237        47388.2516        -0.0040        -0.0000
25            5          0.0237        47388.2516        -0.0040        -0.0000
26            5          0.0237        47388.2516        -0.0040        -0.0000
