Particle  Iter             zp[i]          uzp[i]         xp[i]          uxp[i]         
0           126          0.5047        36763.9842        0.0000        0.0000
0           127          0.5084        36289.6695        0.0000        0.0000
0           128          0.5120        35758.4592        0.0000        0.0000
0           129          0.5155        35165.6073        0.0000        0.0000
0           130          0.5190        34506.3921        0.0000        0.0000
0           131          0.5224        33776.4445        0.0000        0.0000
0           132          0.5258        32972.0605        0.0000        0.0000
0           133          0.5290        32090.1600        0.0000        0.0000
0           134          0.5322        31128.4124        0.0000        0.0000
0           135          0.5353        30085.6622        0.0000        0.0000
0           136          0.5382        28961.9159        0.0000        0.0000
0           137          0.5411        27758.4199        0.0000        0.0000
0           138          0.5438        26477.8124        0.0000        0.0000
0           139          0.5464        25123.9215        0.0000        0.0000
0           140          0.5488        23701.6543        0.0000        0.0000
0           141          0.5511        22216.9855        0.0000        0.0000
0           142          0.5532        20676.6234        0.0000        0.0000
0           143          0.5552        19087.5282        0.0000        0.0000
0           144          0.5571        17456.7373        0.0000        0.0000
0           145          0.5587        15791.0366        0.0000        0.0000
0           146          0.5602        14097.0619        0.0000        0.0000
0           147          0.5615        12381.0376        0.0000        0.0000
0           148          0.5627        10647.8225        0.0000        0.0000
0           149          0.5637        8901.8821        0.0000        0.0000
0           150          0.5645        7146.6561        0.0000        0.0000
0           151          0.5651        5385.1244        0.0000        0.0000
0           152          0.5656        3619.9111        0.0000        0.0000
0           153          0.5658        1852.2229        0.0000        0.0000
0           154          0.5659        83.2685        0.0000        0.0000
0           155          0.5658        -1685.7428        0.0000        0.0000
0           156          0.5656        -3453.6017        0.0000        0.0000
0           157          0.5652        -5219.0995        0.0000        0.0000
0           158          0.5645        -6981.0292        0.0000        0.0000
0           159          0.5638        -8736.9175        0.0000        0.0000
0           160          0.5628        -10483.8141        0.0000        0.0000
0           161          0.5617        -12218.3474        0.0000        0.0000
0           162          0.5604        -13936.2692        0.0000        0.0000
0           163          0.5589        -15632.5781        0.0000        0.0000
0           164          0.5572        -17301.0853        0.0000        0.0000
0           165          0.5554        -18935.3652        0.0000        0.0000
0           166          0.5534        -20528.6307        0.0000        0.0000
0           167          0.5513        -22073.8259        0.0000        0.0000
0           168          0.5490        -23563.9691        0.0000        0.0000
0           169          0.5466        -24992.3646        0.0000        0.0000
0           170          0.5440        -26352.9415        0.0000        0.0000
0           171          0.5413        -27640.6415        0.0000        0.0000
0           172          0.5385        -28851.5365        0.0000        0.0000
0           173          0.5356        -29982.8952        0.0000        0.0000
0           174          0.5325        -31033.3230        0.0000        0.0000
0           175          0.5293        -32002.6374        0.0000        0.0000
0           176          0.5261        -32891.9796        0.0000        0.0000
0           177          0.5228        -33703.5767        0.0000        0.0000
0           178          0.5194        -34440.3339        0.0000        0.0000
0           179          0.5159        -35106.0198        0.0000        0.0000
0           180          0.5123        -35705.0090        0.0000        0.0000
0           181          0.5087        -36241.8951        0.0000        0.0000
0           182          0.5051        -36721.3907        0.0000        0.0000
0           183          0.5014        -37148.2622        0.0000        0.0000
0           184          0.4977        -37527.2105        0.0000        0.0000
0           185          0.4939        -37862.7788        0.0000        0.0000
0           186          0.4901        -38159.2850        0.0000        0.0000
0           187          0.4863        -38420.7773        0.0000        0.0000
0           188          0.4824        -38651.0079        0.0000        0.0000
0           189          0.4785        -38853.4243        0.0000        0.0000
0           190          0.4746        -39031.1666        0.0000        0.0000
0           191          0.4707        -39187.0708        0.0000        0.0000
0           192          0.4668        -39323.6875        0.0000        0.0000
0           193          0.4629        -39443.3062        0.0000        0.0000
0           194          0.4589        -39547.9705        0.0000        0.0000
0           195          0.4549        -39639.4947        0.0000        0.0000
0           196          0.4510        -39719.4870        0.0000        0.0000
0           197          0.4470        -39789.3691        0.0000        0.0000
0           198          0.4430        -39850.3957        0.0000        0.0000
0           199          0.4390        -39903.6717        0.0000        0.0000
0           200          0.4350        -39950.1687        0.0000        0.0000
0           201          0.4310        -39990.7404        0.0000        0.0000
0           202          0.4270        -40026.1353        0.0000        0.0000
0           203          0.4230        -40057.0097        0.0000        0.0000
0           204          0.4190        -40083.9384        0.0000        0.0000
0           205          0.4150        -40107.4242        0.0000        0.0000
0           206          0.4110        -40127.9072        0.0000        0.0000
0           207          0.4070        -40145.7719        0.0000        0.0000
0           208          0.4030        -40161.3545        0.0000        0.0000
0           209          0.3990        -40174.9485        0.0000        0.0000
0           210          0.3949        -40186.8103        0.0000        0.0000
0           211          0.3909        -40197.1636        0.0000        0.0000
0           212          0.3869        -40206.2038        0.0000        0.0000
0           213          0.3829        -40214.1012        0.0000        0.0000
0           214          0.3789        -40221.0044        0.0000        0.0000
0           215          0.3748        -40227.0435        0.0000        0.0000
0           216          0.3708        -40232.3308        0.0000        0.0000
0           217          0.3668        -40236.9638        0.0000        0.0000
0           218          0.3628        -40241.0264        0.0000        0.0000
0           219          0.3587        -40244.5914        0.0000        0.0000
0           220          0.3547        -40247.7214        0.0000        0.0000
0           221          0.3507        -40250.4698        0.0000        0.0000
0           222          0.3467        -40252.8824        0.0000        0.0000
0           223          0.3426        -40254.9977        0.0000        0.0000
0           224          0.3386        -40256.8484        0.0000        0.0000
0           225          0.3346        -40258.4616        0.0000        0.0000
0           226          0.3306        -40259.8599        0.0000        0.0000
0           227          0.3265        -40261.0621        0.0000        0.0000
0           228          0.3225        -40262.0839        0.0000        0.0000
0           229          0.3185        -40262.9390        0.0000        0.0000
0           230          0.3145        -40263.6401        0.0000        0.0000
0           231          0.3104        -40264.2010        0.0000        0.0000
0           232          0.3064        -40264.6375        0.0000        0.0000
0           233          0.3024        -40264.9680        0.0000        0.0000
0           234          0.2984        -40265.2127        0.0000        0.0000
0           235          0.2943        -40265.3909        0.0000        0.0000
0           236          0.2903        -40265.5198        0.0000        0.0000
0           237          0.2863        -40265.6129        0.0000        0.0000
0           238          0.2823        -40265.6807        0.0000        0.0000
0           239          0.2782        -40265.7305        0.0000        0.0000
0           240          0.2742        -40265.7675        0.0000        0.0000
0           241          0.2702        -40265.7954        0.0000        0.0000
0           242          0.2661        -40265.8167        0.0000        0.0000
0           243          0.2621        -40265.8331        0.0000        0.0000
0           244          0.2581        -40265.8460        0.0000        0.0000
0           245          0.2541        -40265.8562        0.0000        0.0000
0           246          0.2500        -40265.8643        0.0000        0.0000
0           247          0.2460        -40265.8709        0.0000        0.0000
0           248          0.2420        -40265.8763        0.0000        0.0000
0           249          0.2380        -40265.8807        0.0000        0.0000
0           250          0.2339        -40265.8844        0.0000        0.0000
0           251          0.2299        -40265.8874        0.0000        0.0000
0           252          0.2259        -40265.8899        0.0000        0.0000
0           253          0.2219        -40265.8920        0.0000        0.0000
0           254          0.2178        -40265.8938        0.0000        0.0000
